num_pools,num_channels,pool_type,pool_stride,skip_connections,avg_radius,sigma_back,epochs,IoU,path
3,2,max,2,1-1-1,30,7.5,100,0.9743980413675308,results/rad30_sig7.5_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,30,7.5,100,0.970774336218834,results/rad30_sig7.5_ch2_pools4_max_stride2_skip1-1-1-1_100E
5,2,max,2,1-1-1-1-1,30,7.5,100,0.9670696415901184,results/rad30_sig7.5_ch2_pools5_max_stride2_skip1-1-1-1-1_100E
1,4,max,2,1,30,7.5,100,0.3618952560424804,results/rad30_sig7.5_ch4_pools1_max_stride2_skip1_100E
2,4,max,2,1-1,30,7.5,100,0.9764706790447236,results/rad30_sig7.5_ch4_pools2_max_stride2_skip1-1_100E
3,4,max,2,1-1-1,30,7.5,100,0.9819841500520706,results/rad30_sig7.5_ch4_pools3_max_stride2_skip1-1-1_100E
4,4,max,2,1-1-1-1,30,7.5,100,0.9833024016618728,results/rad30_sig7.5_ch4_pools4_max_stride2_skip1-1-1-1_100E
5,4,max,2,1-1-1-1-1,30,7.5,100,0.9714891889095308,results/rad30_sig7.5_ch4_pools5_max_stride2_skip1-1-1-1-1_100E
1,8,max,2,1,30,7.5,100,0.9808446500301362,results/rad30_sig7.5_ch8_pools1_max_stride2_skip1_100E
2,8,max,2,1-1,30,7.5,100,0.9826813821792602,results/rad30_sig7.5_ch8_pools2_max_stride2_skip1-1_100E
3,8,max,2,1-1-1,30,7.5,100,0.9845714529752732,results/rad30_sig7.5_ch8_pools3_max_stride2_skip1-1-1_100E
4,8,max,2,1-1-1-1,30,7.5,100,0.9838919911384584,results/rad30_sig7.5_ch8_pools4_max_stride2_skip1-1-1-1_100E
5,8,max,2,1-1-1-1-1,30,7.5,100,0.9768045588731764,results/rad30_sig7.5_ch8_pools5_max_stride2_skip1-1-1-1-1_100E
1,16,max,2,1,30,7.5,100,0.9863875159025192,results/rad30_sig7.5_ch16_pools1_max_stride2_skip1_100E
2,16,max,2,1-1,30,7.5,100,0.9875705416202544,results/rad30_sig7.5_ch16_pools2_max_stride2_skip1-1_100E
3,16,max,2,1-1-1,30,7.5,100,0.98873654794693,results/rad30_sig7.5_ch16_pools3_max_stride2_skip1-1-1_100E
4,16,max,2,1-1-1-1,30,7.5,100,0.9856693633794784,results/rad30_sig7.5_ch16_pools4_max_stride2_skip1-1-1-1_100E
5,16,max,2,1-1-1-1-1,30,7.5,100,0.9864714571237564,results/rad30_sig7.5_ch16_pools5_max_stride2_skip1-1-1-1-1_100E
1,32,max,2,1,30,7.5,100,0.990107517004013,results/rad30_sig7.5_ch32_pools1_max_stride2_skip1_100E
2,32,max,2,1-1,30,7.5,100,0.9892375787496568,results/rad30_sig7.5_ch32_pools2_max_stride2_skip1-1_100E
3,32,max,2,1-1-1,30,7.5,100,0.990588418841362,results/rad30_sig7.5_ch32_pools3_max_stride2_skip1-1-1_100E
4,32,max,2,1-1-1-1,30,7.5,100,0.9836426194906236,results/rad30_sig7.5_ch32_pools4_max_stride2_skip1-1-1-1_100E
5,32,max,2,1-1-1-1-1,30,7.5,100,0.9760766577720644,results/rad30_sig7.5_ch32_pools5_max_stride2_skip1-1-1-1-1_100E
1,2,max,2,1,30,10.0,100,0.9716484295129776,results/rad30_sig10.0_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,30,10.0,100,0.9654876096248628,results/rad30_sig10.0_ch2_pools2_max_stride2_skip1-1_100E
3,2,max,2,1-1-1,30,10.0,100,0.9799034929275512,results/rad30_sig10.0_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,30,10.0,100,0.9796508939266204,results/rad30_sig10.0_ch2_pools4_max_stride2_skip1-1-1-1_100E
5,2,max,2,1-1-1-1-1,30,10.0,100,0.9644436173439026,results/rad30_sig10.0_ch2_pools5_max_stride2_skip1-1-1-1-1_100E
1,4,max,2,1,30,10.0,100,0.978259454846382,results/rad30_sig10.0_ch4_pools1_max_stride2_skip1_100E
2,4,max,2,1-1,30,10.0,100,0.9786669243574142,results/rad30_sig10.0_ch4_pools2_max_stride2_skip1-1_100E
3,4,max,2,1-1-1,30,10.0,100,0.9833481403589248,results/rad30_sig10.0_ch4_pools3_max_stride2_skip1-1-1_100E
4,4,max,2,1-1-1-1,30,10.0,100,0.9818356317281725,results/rad30_sig10.0_ch4_pools4_max_stride2_skip1-1-1-1_100E
5,4,max,2,1-1-1-1-1,30,10.0,100,0.9764307010173798,results/rad30_sig10.0_ch4_pools5_max_stride2_skip1-1-1-1-1_100E
1,8,max,2,1,30,10.0,100,0.9780257626771928,results/rad30_sig10.0_ch8_pools1_max_stride2_skip1_100E
2,8,max,2,1-1,30,10.0,100,0.9841854352951048,results/rad30_sig10.0_ch8_pools2_max_stride2_skip1-1_100E
3,8,max,2,1-1-1,30,10.0,100,0.985216798901558,results/rad30_sig10.0_ch8_pools3_max_stride2_skip1-1-1_100E
4,8,max,2,1-1-1-1,30,10.0,100,0.984476275920868,results/rad30_sig10.0_ch8_pools4_max_stride2_skip1-1-1-1_100E
5,8,max,2,1-1-1-1-1,30,10.0,100,0.9801764270067216,results/rad30_sig10.0_ch8_pools5_max_stride2_skip1-1-1-1-1_100E
1,16,max,2,1,30,10.0,100,0.9834146295785904,results/rad30_sig10.0_ch16_pools1_max_stride2_skip1_100E
2,16,max,2,1-1,30,10.0,100,0.9883581043481826,results/rad30_sig10.0_ch16_pools2_max_stride2_skip1-1_100E
3,16,max,2,1-1-1,30,10.0,100,0.9886803189516068,results/rad30_sig10.0_ch16_pools3_max_stride2_skip1-1-1_100E
4,16,max,2,1-1-1-1,30,10.0,100,0.9868955959081648,results/rad30_sig10.0_ch16_pools4_max_stride2_skip1-1-1-1_100E
5,16,max,2,1-1-1-1-1,30,10.0,100,0.9836045072078704,results/rad30_sig10.0_ch16_pools5_max_stride2_skip1-1-1-1-1_100E
1,32,max,2,1,30,10.0,100,0.9867257961034775,results/rad30_sig10.0_ch32_pools1_max_stride2_skip1_100E
2,32,max,2,1-1,30,10.0,100,0.9901494443416596,results/rad30_sig10.0_ch32_pools2_max_stride2_skip1-1_100E
3,32,max,2,1-1-1,30,10.0,100,0.9890487440824508,results/rad30_sig10.0_ch32_pools3_max_stride2_skip1-1-1_100E
4,32,max,2,1-1-1-1,30,10.0,100,0.9914296835660934,results/rad30_sig10.0_ch32_pools4_max_stride2_skip1-1-1-1_100E
5,32,max,2,1-1-1-1-1,30,10.0,100,0.980600769162178,results/rad30_sig10.0_ch32_pools5_max_stride2_skip1-1-1-1-1_100E
1,2,max,2,1,40,2.5,100,0.97438172185421,results/rad40_sig2.5_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,40,2.5,100,0.9716892117261886,results/rad40_sig2.5_ch2_pools2_max_stride2_skip1-1_100E
3,2,max,2,1-1-1,40,2.5,100,0.9806332290172576,results/rad40_sig2.5_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,40,2.5,100,0.9843057515621184,results/rad40_sig2.5_ch2_pools4_max_stride2_skip1-1-1-1_100E
